,HC1,A1preES,A1postES,HC2,HC3,A2_1,A2_2,A3_1,A3_2,B1,HC4,A4preES,A4postES,HC5,HC6,A5,B2
A,0.720760417978094,0.8623076923076923,0.7899165556412593,0.783624994754291,0.6903119868637111,0.5866281443331345,1.0525440945609013,0.5575793738027196,0.8283313325330132,0.9868870625173146,0.4807894675303417,0.984952380952381,1.0769330988209236,0.6399345335515549,0.5189413596263622,1.2139940403928928,0.8705283238999164
B,0.7390269305162923,1.3786363636363637,1.6926328001988897,1.1082428210087782,0.7593012651123635,0.8601576484627707,1.1135223320097272,0.704916831538067,0.8620371225413243,1.096900298580971,0.839607201309329,1.128550724637681,1.1355079069398755,0.867287750788217,0.7031779809648527,1.5588927878843843,1.3168344260781237
C,0.8597678916827853,1.3045454545454545,1.542385534173856,1.2296533253980064,1.0108600742196028,1.1794533597127574,1.346261581555699,1.281124056569209,1.6591251885369533,1.578970049558285,0.956803834463409,1.476904761904762,1.6555924695459578,1.28653261631985,0.9550502688800561,1.512605042016807,1.352733401052729
G,1.0344596599010516,1.1085294117647058,1.3516192994051555,0.8892919354529966,0.7633146007523494,0.8792574091637673,1.0305016460967216,0.8432469185663088,1.1688038363824957,0.8285353497391802,0.6209417798875975,0.9364957264957267,1.0615361230956306,0.8738263428065358,0.8810420223090053,1.1297442053744577,0.9486563856311755
H,0.36972699925277036,0.848874458874459,1.236133966307166,0.7996684166896932,0.629643723439762,0.48169570592081035,0.7360286772051479,0.4415555866424189,0.8179635490559859,0.7795985527077964,0.5895638516320597,0.91042194092827,0.949194004361723,0.5229056113515854,0.5272885979268959,1.236888601594484,0.6201249730661496
I,0.5428290812150691,0.9300476190476191,1.1290469676242587,0.7961889174655131,0.6780578286961266,0.7002125009159523,1.1905623787976731,0.6979702498717668,1.2711053652230122,1.3378582202111613,0.5558451292743236,1.177675438596491,1.1444489756752867,0.706205684451758,0.4438375362206466,1.2793295455834157,0.716100205264292
K,0.7645628230011928,1.2399999999999998,1.3489768333700054,1.1359723641207717,0.7570514955323125,1.0371737630854831,1.3008492521677109,1.1597850228545874,1.1948599068274526,1.2999576488420304,0.7802467581518318,1.474615384615385,1.5417938194955978,0.9604683369004154,0.8141968524191475,1.5688198356265588,1.4041001015790935
L,0.8334698111147505,1.226388888888889,1.407057125493771,0.8958094614503193,0.5559263130060315,0.8418587348022389,0.9698672368355628,0.7758256252430796,1.0684451295311026,1.259634031127244,0.5137618969670041,1.4293650793650794,1.2080566045926118,0.6010443457251968,0.7628329117690819,1.3542340012928247,1.2985543867896812
N,0.5705175235622778,1.1040229885057473,1.152673435388049,0.7129070489305266,0.6399786592944229,0.9089909870301165,1.121884651296416,0.6666503830715745,1.1164978812037636,1.064904594316359,0.5550619593172785,1.049206349206349,1.3601719757670505,0.42326310127914324,0.783804305749933,1.4516365986954225,0.9565434565434564
Q,0.5886992365957828,1.1375757575757577,0.9982174688057041,0.5914522537537762,0.7151245133694405,0.7855046976401886,0.9320985919451396,0.6887801427929694,0.9423568758607123,0.9491020488462946,0.6672995090016367,1.0786666666666667,1.1183226982680035,0.7600654664484452,0.44483087834151663,1.229664942900237,1.059981684981685
mean,0.7023820374820067,1.114092863514669,1.2648659986408115,0.8942811539024671,0.7199570460286122,0.826093295106722,1.07941204424707,0.7817434190952701,1.0929526187695815,1.1182347856446637,0.6559921387534813,1.1646854453368791,1.225155767656266,0.7641533789622702,0.6835002714207498,1.3535809601361486,1.05441573448863
s.d,0.18979681285064282,0.1834882631795634,0.26317685970804694,0.20333778921215825,0.12181281742312516,0.2038442611655209,0.179596000992845,0.2575310774468435,0.25630444930080304,0.2497300809876064,0.15511723947265285,0.2198045443248065,0.22482512720325357,0.24808167995986666,0.18632962081935908,0.15897507591096283,0.2783713113859751
sem,0.06001902212487465,0.05802408355558295,0.08322383041280244,0.06430105482936349,0.03852059512593182,0.06446121532372555,0.05679324217952518,0.08143847730092459,0.08105058342256884,0.07897158561791479,0.04905237810913588,0.06950830001218258,0.07109594771993628,0.07845031544341279,0.058922599734470414,0.050272333107681,0.08802873792276446
